Distance [mm], X-axis [g], Y-axis [g], Z-axis [g]
, 109, 0.0936, -0.038999997, 0.8736
, 109, 0.0936, -0.038999997, 0.8736
, 108, 0.0936, -0.038999997, 0.86579996
, 108, 0.0858, -0.038999997, 0.8736
, 109, 0.0936, -0.0468, 0.8736
, 109, 0.0936, -0.0468, 0.8736
, 108, 0.0936, -0.038999997, 0.8736
, 108, 0.0936, -0.038999997, 0.8736
, 109, 0.0858, -0.038999997, 0.8736
, 108, 0.0858, -0.038999997, 0.8736
, 108, 0.0858, -0.038999997, 0.8736
, 107, 0.0936, -0.038999997, 0.8736
, 114, 0.0858, -0.038999997, 0.86579996
, 114, 0.0858, -0.038999997, 0.86579996
, 113, 0.0936, -0.038999997, 0.8736
, 113, 0.0936, -0.038999997, 0.8736
, 113, 0.0858, -0.038999997, 0.86579996
, 112, 0.0936, -0.038999997, 0.8736
, 112, 0.0936, -0.038999997, 0.8736
, 112, 0.0936, -0.038999997, 0.86579996
, 113, 0.0936, -0.038999997, 0.8736
, 113, 0.0936, -0.038999997, 0.8736
, 108, 0.0936, -0.038999997, 0.8736
, 109, 0.0936, -0.038999997, 0.8736
, 109, 0.0936, -0.038999997, 0.8736
, 107, 0.0858, -0.038999997, 0.8736
, 108, 0.0936, -0.038999997, 0.8736
, 108, 0.0936, -0.038999997, 0.8736
, 109, 0.0936, -0.038999997, 0.8736
, 109, 0.0936, -0.038999997, 0.8736
, 108, 0.0858, -0.038999997, 0.8736
, 108, 0.0936, -0.038999997, 0.8736
, 108, 0.0936, -0.038999997, 0.8736
, 109, 0.0858, -0.038999997, 0.8736
, 108, 0.0936, -0.038999997, 0.8736
, 108, 0.0936, -0.038999997, 0.8736
, 109, 0.0858, -0.038999997, 0.8736
, 108, 0.0858, -0.038999997, 0.8736
, 108, 0.0858, -0.038999997, 0.8736
, 108, 0.0936, -0.038999997, 0.8736
, 109, 0.0936, -0.038999997, 0.8736
, 109, 0.0936, -0.038999997, 0.8736
, 108, 0.0936, -0.038999997, 0.86579996
, 108, 0.0936, -0.038999997, 0.86579996
, 109, 0.0858, -0.038999997, 0.86579996
, 108, 0.0936, -0.038999997, 0.8736
, 108, 0.0936, -0.038999997, 0.8736
, 108, 0.0858, -0.038999997, 0.8736
, 109, 0.0858, -0.038999997, 0.8736
, 109, 0.0858, -0.038999997, 0.8736
, 108, 0.0858, -0.038999997, 0.8736
, 109, 0.0936, -0.038999997, 0.8736
, 109, 0.0936, -0.038999997, 0.8736
, 108, 0.0858, -0.038999997, 0.8736
, 108, 0.0936, -0.038999997, 0.8736
, 108, 0.0936, -0.038999997, 0.8736
, 109, 0.0858, -0.038999997, 0.8736
, 109, 0.0858, -0.038999997, 0.8736
, 108, 0.0858, -0.038999997, 0.8736
, 109, 0.0858, -0.038999997, 0.86579996
, 109, 0.0858, -0.038999997, 0.86579996
, 108, 0.0858, -0.038999997, 0.8736
, 108, 0.0936, -0.038999997, 0.8736
, 108, 0.0936, -0.038999997, 0.8736
, 108, 0.0858, -0.038999997, 0.8736
, 108, 0.0936, -0.038999997, 0.8736
, 108, 0.0936, -0.038999997, 0.8736
, 108, 0.0858, -0.038999997, 0.8736
, 109, 0.0936, -0.038999997, 0.8736
, 109, 0.0936, -0.038999997, 0.8736
, 108, 0.0936, -0.038999997, 0.8736
, 108, 0.0936, -0.038999997, 0.8736
, 109, 0.0936, -0.038999997, 0.8736
, 108, 0.0936, -0.038999997, 0.8736
, 108, 0.0936, -0.038999997, 0.8736
, 108, 0.0858, -0.038999997, 0.8736
, 109, 0.0858, -0.038999997, 0.86579996
, 109, 0.0858, -0.038999997, 0.86579996
, 108, 0.0936, -0.038999997, 0.8736
, 109, 0.0936, -0.0468, 0.8736
, 109, 0.0936, -0.0468, 0.8736
, 108, 0.0936, -0.038999997, 0.8736
, 108, 0.0936, -0.038999997, 0.8736
, 108, 0.0858, -0.038999997, 0.8736
, 109, 0.0858, -0.038999997, 0.86579996
, 109, 0.0858, -0.038999997, 0.86579996
, 108, 0.0936, -0.038999997, 0.8736
, 109, 0.0858, -0.0312, 0.8736
, 109, 0.0858, -0.0312, 0.8736
, 108, 0.0936, -0.038999997, 0.8736
, 108, 0.0858, -0.038999997, 0.8736
, 108, 0.0858, -0.038999997, 0.8736
, 108, 0.0936, -0.038999997, 0.8736
, 108, 0.0936, -0.038999997, 0.8736
, 108, 0.0936, -0.038999997, 0.8736
, 108, 0.0858, -0.038999997, 0.8736
, 108, 0.0858, -0.038999997, 0.8736
, 108, 0.0858, -0.038999997, 0.8736
, 108, 0.0936, -0.038999997, 0.8736
, 108, 0.0936, -0.038999997, 0.8736
, 109, 0.0936, -0.038999997, 0.86579996
